adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,KEYWORDS,GENRES,CAST,DIRECTORS
False,/gcZbciueHH7WmD03GcVZX7LYqmR.jpg,"[18, 10402]",491625,hi,गल्ली बॉय,A coming-of-age story based on the lives of street rappers in Mumbai.,6.716,/4RE7TD5TqEXbPKyUHcn7CSeMlrJ.jpg,2019-02-14,Gully Boy,False,7.5,129,"['slum', 'rap music', 'ghetto', 'mumbai (bombay), india', 'rapper', 'poverty', 'rap star', 'rapper wannabe']","['Drama', 'Music']","['Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Mona Ghosh Shetty', 'Vijay Raaz', 'Vijay Varma', 'Amruta Subhash', 'Ikhlaque Khan', 'Sheeba Chaddha', 'Kalki Koechlin', 'Ayaan Zubair Rahmani', 'Rahul Piske', 'Jyoti Subhash', 'Nakul Roshan Sandev', 'Shruti Chauhan', 'Vijay Maurya', 'Srishti Shrivastava', 'Malika Singh', 'Tina Bhatia', 'Svar Kamble', 'Rahil Gilani', 'Chaitnya Sharma', 'Jasleen Kaur Royal', 'Michaela Tanwar', 'Kubbra Sait', 'Shah Rule', 'Manjeet Singh Ral', 'Krishna Kaul', 'Emiway Bantai', 'Omi Kashyap', 'Raja Kumari', 'Vivian Fernandes', 'R. Bhakti Klein', 'Sushant Singh']",['Zoya Akhtar']
False,/hAsyCZUndXQF5YBGIoA0xPHMYYi.jpg,"[10749, 35, 18]",26277,hi,मुझसे दोस्ती करोगे!,"A man falls in love with his childhood friend, but her sister is the one who reciprocates his feelings.",6.472,/fOu6pOPCeofmf5apKvsJb3XQmj3.jpg,2002-08-08,Mujhse Dosti Karoge!,False,6.4,59,[],"['Romance', 'Comedy', 'Drama']","['Hrithik Roshan', 'Rani Mukerji', 'Kareena Kapoor Khan', 'Satish Shah', 'Himani Shivpuri', 'Kiran Kumar', 'Smita Jaykar', 'Sachin Khedekar', 'Uday Chopra', 'Parikshat Sahni', 'Maya Alagh', 'Namuna Nembang', 'Barkha Singh']",['Kunal Kohli']
False,/4rJU6BxxcaeZN45j03n3z1aidca.jpg,"[18, 35, 10749]",14467,hi,जाने तू ... या जाने ना,Two best friends being convinced that they are not in love search for each other's love.,6.203,/gRMnFvuPyeTDPlREZzXggE2ohO2.jpg,2008-07-04,Jaane Tu... Ya Jaane Na,False,6.8,122,[],"['Drama', 'Comedy', 'Romance']","['Imran Khan', ""Genelia D'Souza"", 'Manjari Fadnnis', 'Prateik Babbar', 'Sugandha Garg', 'Nirav Mehta', 'Alishka Varde', 'Ayaz Khan', 'Naseeruddin Shah', 'Ratna Pathak', 'Karan Makhija', 'Renuka Kunzru', 'Padam Bhola', 'Shakun Batra', 'Jayant Kripalani', 'Anooradha Patel', 'Jerrit John', 'Pratiek Babbar', 'Arbaaz Khan', 'Sohail Khan', 'Paresh Rawal', 'Rajat Kapoor', 'Kitu Gidwani', 'Ayaz Khan', 'Uditanshu Mehta', 'Urvashi Shah', 'Deepak Dhadwal', 'Veena Mehta', 'Murali Sharma', 'Omprakash']",['Abbas Tyrewala']
False,/7Qgfvndpje4oU7cUw3oYvT8dlyP.jpg,"[18, 28, 53, 80]",19658,hi,Race,The plot thickens around two horse-racing competitors when three beautiful women come into their lives and a murder is committed.,5.839,/krMI3hRmlgKcuNc3XBWtl8APasR.jpg,2008-03-20,Race,False,6.1,88,[],"['Drama', 'Action', 'Thriller', 'Crime']","['Saif Ali Khan', 'Akshaye Khanna', 'Bipasha Basu', 'Katrina Kaif', 'Anil Kapoor', 'Sameera Reddy', 'Dalip Tahil', 'Johnny Lever', 'Gloria Allred']","['Mastan Alibhai Burmawalla', 'Abbas Alibhai Burmawalla']"
False,/t7yjtDJXAxc0p5awbRGoWCOewsm.jpg,"[53, 18]",675592,hi,Guilty,A young woman from a small town accuses the college heartthrob of sexual assault.,5.064,/1No7DCXC4jcAeHqn50mgjZ2NRgY.jpg,2020-03-06,Guilty,False,6.8,45,[],"['Thriller', 'Drama']","['Kiara Advani', 'Gurfateh Singh Pirzada', 'Akansha Ranjan Kapoor', 'Ashrut Jain', 'Gopal Datt', 'Dalip Tahil', 'Taher Shabbir']",['Ruchi Narain']
False,/e2k7DsHGMaWCNlS44ysPkT2E0fe.jpg,[18],26237,hi,आनन्द,Dr. Bhaskar Bannerjee struggles with his patients' suffering and the darkness and poverty he confronts daily. He treats cancer patient Anand who upon learning of his impending death determines to use the time he has left to the absolute fullest.,6.168,/peVm6iuPooa9xddS6JT3w537Kx4.jpg,1971-03-12,Anand,False,7.3,91,"['nurse', 'beach', 'terminal illness', 'cancer', 'joy of life', 'tape recorder', 'hospital', 'doctor']",['Drama'],"['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal', 'Johnny Walker', 'Asit Sen', 'Lalita Pawar', 'Dara Singh', 'Ramesh Deo', 'Seema Deo', 'Lalita Kumari', 'Brahm Bhardwaj', 'Atma Prakash', 'Durga Khote', 'Dev Kishan']",['Hrishikesh Mukherjee']
False,/lPUrfzWb7icGC6X1z0AKnYRtHGu.jpg,"[80, 53]",19657,hi,बाज़ीगर,A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.,6.736,/fqFSU3hdRQKsPxJ3OYh3nyVZqY1.jpg,1993-11-12,Baazigar,False,7.0,85,[],"['Crime', 'Thriller']","['Shah Rukh Khan', 'Kajol', 'Shilpa Shetty Kundra', 'Rakhee Gulzar', 'Dalip Tahil', 'Ananth Narayan Mahadevan', 'Dinesh Hingoo', 'Johnny Lever', 'Siddharth Ray', 'Resham Tipnis', 'Adi Irani', 'Sharad Sankla', 'Daboo Malik', 'Raju Srivastava']","['Mastan Alibhai Burmawalla', 'Abbas Alibhai Burmawalla']"
False,/mthx2fkTwfphd93nsuwJ7Efx09K.jpg,"[10749, 35]",467106,hi,बरेली की बर्फी,"Bitti Mishra is a bohemian Bareilly girl who falls deeply in love with Pritam Vidrohi, an author because she admires his progressive way of thinking. Finding him though proves to be as hard as looking for a needle in the haystack. So Bitti seeks the help of the local printing press-owner, Chirag Dubey on her journey of love.",6.945,/gviYC7rpJ4HWbbEFs0ZW5u965Tq.jpg,2017-08-17,Bareilly Ki Barfi,False,6.8,134,"['love triangle', 'mind reading']","['Romance', 'Comedy']","['Ayushmann Khurrana', 'Kriti Sanon', 'Rajkummar Rao', 'Pankaj Tripathi', 'Seema Pahwa', 'Rohit Choudhary', 'Semwal Swati', 'Javed Akhtar', 'Naila Grewal', 'Sapna Sand']",['Ashwiny Iyer Tiwari']
False,/jvfLYS71UWT7Fq6wg0r33TkrYai.jpg,"[18, 10749]",14752,hi,दिल चाहता है,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",7.937,/d5yjk7hbv8AK0DR0oJUrSGHMn9A.jpg,2001-07-24,Dil Chahta Hai,False,7.0,218,[],"['Drama', 'Romance']","['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity Zinta', 'Sonali Kulkarni', 'Dimple Kapadia', 'Rajat Kapoor', 'Suchitra Pillai', 'Ayub Khan', 'Samantha Tremayne', 'Mandala Tayde', 'Rakesh Pandey', 'Suhasini Mulay']",['Farhan Akhtar']
False,/1kn8EqMAuYu6gpK2xU0GunjavVv.jpg,"[18, 35, 10749]",276928,hi,हम्प्टी शर्मा की दुल्हनिया,"A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra'(wedding dress worth Rs. 2 Lakh), she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.",7.645,/kiqZEW6ZmFducXGeikKI5WcQZEI.jpg,2014-07-11,Humpty Sharma Ki Dulhania,False,6.4,82,[],"['Drama', 'Comedy', 'Romance']","['Varun Dhawan', 'Alia Bhatt', 'Ashutosh Rana', 'Sidharth Shukla', 'Aditya Sharma', 'Deepika Amin', 'Gaurav Pandey', 'Sahil Vaid']",['Shashank Khaitan']
False,/rXzttZg6PlBlJvIT1ImjVk81myj.jpg,"[53, 18]",563987,hi,Pihu,"The social thriller starring a two year-old baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler, she is occasionally trapped in the accidental situations.",6.244,/zRsqo4iSRvUK8eFsmT4y16BbmnX.jpg,2018-11-16,Pihu,False,7.7,77,"['baby', 'toddler']","['Thriller', 'Drama']","['Pihu Myra Vishwakarma', 'Prerna Sharma']",['Vinod Kapri']
False,/4WQCJM8xpSwbWcmxAiBasveBWWq.jpg,"[10749, 35, 18]",22609,hi,दिल बोले हडिप्पा!,"Veera, a fire-cracker of a girl who lives in a small village but dreams of playing cricket in the big league. Rohan is an accomplished captain of a county cricket team in England. Rohan returns to India to captain his father's cricket team which has been losing for the last 8 years. In a Village where girls don't play Cricket, Veera has to put on a put on a turban & beard to live her dream.",4.663,/3AA4yN0ivMIHEzQUSBsjWMSmt2q.jpg,2009-09-18,Dil Bole Hadippa!,False,5.6,40,[],"['Romance', 'Comedy', 'Drama']","['Rani Mukerji', 'Shahid Kapoor', 'Anupam Kher', 'Dalip Tahil', 'Rakhi Sawant', 'Sherlyn Chopra', 'Vrajesh Hirjee', 'Poonam Dhillon', 'Shonali Nagrani', 'Shri Vallabh Vyas']",['Anurag Singh']
False,/5RbL6LvHyXSJc5mrGAM714YInRr.jpg,"[10749, 35, 28]",24827,hi,अजब प्रेम कि ग़ज़ब कहानी,"When his love interest doesn't show up for a meeting, a man and his friends go to Goa in order to find her, where they discover she loves someone else.",7.917,/vegTWHUWLulmpAz8hGpsrneRvuf.jpg,2009-11-06,Ajab Prem Ki Ghazab Kahani,False,6.1,101,[],"['Romance', 'Comedy', 'Action']","['Ranbir Kapoor', 'Katrina Kaif', 'Upen Patel', 'Govind Namdeo', 'Darshan Jariwala', 'Mithilesh Chaturvedi', 'Navneet Nishan', 'Smita Jaykar', 'Shyam Mashalkar', 'Dolly Bindra', 'Mohan Raman', 'Zakir Hussain', 'Delhi Ganesh', 'Salman Khan']",['Rajkumar Santoshi']
False,/8xkPWMyIsxwikJuyMTr08KldKzR.jpg,"[80, 18, 36]",598826,hi,सरदार उधम,"A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",7.276,/5m0ir7GygfhzBBwFYRWzQ7yY0De.jpg,2021-10-16,Sardar Udham,False,7.3,35,"['biography', 'historical', 'punjab, india']","['Crime', 'Drama', 'History']","['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar', 'Kirsty Averton', 'Banita Sandhu', 'Andrew Havill', 'Sam Redford', 'Albrekht Tsander', 'Tim Berrington', 'Mark Lingwood', 'Simon Weir', 'Tim Hudson', 'Richard Glover', 'Nicholas Gecks', 'Ritesh Shah', 'Jogi Malang', 'Kuljeet Singh', 'Tushar Sheetal Singhal', 'Andrei Tolshin', 'Sarfaraz Alam Safu', 'Sergei Mazurenko']",['Shoojit Sircar']
