id,overview,popularity,release_date,title,vote_average,vote_count,KEYWORDS,GENRES,CAST,DIRECTORS
273579,"Sunder (Govinda) comes from his village to the big city. He is naive, easily influenced, and illiterate. His attempts to influence girls are mocked, and he is ignored and made fun of by his roommates.  One day, he befriends an NRI, Payal Khurana (Rani Mukerji), who thinks he is disabled and dumb. She feels sorry for him and decides to assist him get his voice back. She takes him to Dr. S. Puri (Om Puri), who is unable to find a solution. Sunder is thrilled at the attention he is getting from Payal, and decides to continue to pull wool over her eyes, for he knows that she does not love him, she only feels sorry for his handicap, and will soon be returning overseas. Little does he know that Payal is beginning to fall in love with him, and arranging for him to meet her aunt, Mrs. Chaudhary (Farida Jalal), and her mom and dad (Navin Nischal).  In the end, to keep true to his word Sunder cuts off his tongue.",1.436,2002-05-06,Pyaar Diwana Hota Hai,6.7,3,[],[],"['Govinda', 'Rani Mukerji', 'Om Puri', 'Johnny Lever']",[]
347807,Four friends head off to Bombay and get involved in the mother and father of all gang wars.,1.434,2006-02-17,Fight Club: Members Only,3.4,9,[],['Action'],"['Suniel Shetty', 'Sohail Khan', 'Zayed Khan', 'Ritesh Deshmukh', 'Dino Morea', 'Ashmit Patel', 'Aashish Chaudhary', 'Dia Mirza', 'Neha Dhupia', 'Amrita Arora', 'Rahul Dev', 'Yash Tonk', 'Murali Sharma', 'Kulbhushan Kharbanda', 'Puneet Vasishtha']",['Vikram Chopra']
377030,"Nehlle Pe Dehlla is a 2007 Bollywood comedy film directed by Ajay Chandok, and starring Saif Ali Khan, Sanjay Dutt, Bipasha Basu and Kim Sharma. The film was filmed in 2002, even though it premiered on 2 March 2007.",1.431,2007-03-02,Nehlle Pe Dehlla,5.8,6,[],['Comedy'],"['Sanjay Dutt', 'Saif Ali Khan', 'Bipasha Basu', 'Kim Sharma', 'Shweta Menon']",['Ajay Chandhok']
23799,"The Film revolves around life and struggle of Farmer, who has to pay his electricity bill and is tired of dealing with the corrupt systems in bureaucracy and politics in India.",1.431,1992-02-14,Current,6.3,3,[],['Drama'],"['Om Puri', 'Deepti Naval', 'Shreeram Lagoo', 'Aanjjan Srivastav', 'Savita Prabhune', 'Suresh Bhagwat', 'Deepak Qazir', 'Achyut Potdar']",['K. Hariharan']
764336,"The story revolves around a humble, divorced Indian woman named Ananya and amidst her mundane-routine life, she finds herself on a secret intelligence duty in Pakistan. But her love for Urdu literature will have her falling in love that will eventually put them in a tug of war with each other.",0.996,2021-02-04,Lahore Confidential,6.0,2,[],"['Thriller', 'Mystery', 'Drama']","['Richa Chadha', 'Arunoday Singh', 'Karishma Tanna', 'Khalid Siddiqui', 'Nikhat Khan', 'Abdullah Osman']",['Kunal Kohli']
486250,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",0.964,1959-01-01,Ujala,6.0,2,[],[],"['Mala Sinha', 'Shammi Kapoor', 'Raaj Kumar', 'Leela Chitnis', 'Kumkum', 'Dhumal', 'Tun Tun', 'Asrani', 'Suresh']",['Naresh Saigal']
372844,"A Bollywood session violinist finds expression in an unlikely place. The day unfolds to reveal startling truths about music, art, life and survival.",0.8,2016-09-26,The Violin Player,5.1,13,"['violinist', 'art', 'life story']",['Drama'],"['Adil Hussain', 'Ritwick Chakraborty', 'Nayani Dixit', 'Sonam Stobgais', 'Jayant Gadekar']",['Bauddhayan Mukherji']
445685,"An emotional Mumbai-based football player, Rohan (Shivdasani), seeks the assistance of childhood friend, Simran (Reddy), to successfully woo fellow-collegian, Preeti (Sharma). Simran herself is about to be engaged to U.S-based Vicky (Malik). After the engagement ceremony, Vicky returns back to the U.S - not realising that back in India nothing is the same anymore...",1.275,2005-10-14,Koi Aap Sa,7.3,4,"['friendship', 'love', 'football (soccer)', 'relationship']","['Romance', 'Comedy', 'Drama']","['Aftab Shivdasani', 'Dipannita Sharma', 'Himanshu Malik', 'Anita Hassanandani Reddy']",['Partho Mitra']
241180,"Living in a posh mansion named Swarg, this is the story of Sahabji, his wife sister Jyoti, two brothers, and a sister-in-law. Sahabji has a clash of wits with Dhanraj, who successfully schemes with Sahabji's two brothers, and takes over the prestigious mansion and vast business empire, leaving Sahabji virtually penniless, and devastated with the passing away of his wife. His brothers have now taken over the money, and his business. It is now up to a servant of the mansion, Krishna to set things right for Sahabji's household. How can a poor servant succeed against rich and powerful individuals?",1.02,1990-05-02,Swarg,6.6,6,"['movie business', 'loyalty', 'business ethics', 'family drama']",['Drama'],"['Rajesh Khanna', 'Govinda', 'Madhavi', 'Juhi Chawla', 'Dilip Dhawan', 'Raja Bundela', 'Neena Gupta', 'Mahesh Anand', 'Vikas Anand', 'Bhagwan Dada', 'Satish Kaushik']",['David Dhawan']
131775,"The year is 1975, the place is Mahim, Bombay, and this is the story of Tikku, a eunuch, the only child of yesteryear Bollywood actress Nazneen Begum, who has fallen upon hard times, is virtually destitute and is dependent on Tikku, who does make-up/hair-dressing of Bollywood actresses. When she passes away, Tikku is beside himself with grief. After the funeral, he witnesses a woman leaving a child in a garbage bin.",0.744,1998-04-13,Tamanna,8.2,3,[],[],"['Paresh Rawal', 'Pooja Bhatt', 'Manoj Bajpayee', 'Sharad S. Kapoor']",['Mahesh Bhatt']
